 component_id | component_code | component_name 
--------------+----------------+----------------
   7214000001 |              1 | DECK 1
   7214000002 |              1 | DECK 2
   7214000003 |              1 | DECK 3
   7214000004 |              2 | SPAN 1
   7214000005 |              2 | SPAN 2
   7214000006 |              2 | SPAN 3
   7214000007 |              3 | BEARING 1
   7214000008 |              3 | BEARING 2
   7214000009 |              3 | BEARING 3
   7214000010 |              3 | BEARING 4
   7214000011 |              3 | BEARING 5
   7214000012 |              3 | BEARING 6
   7214000013 |              3 | BEARING 7
   7214000014 |              3 | BEARING 8
   7214000015 |              3 | BEARING 9
   7214000016 |              3 | BEARING 10
   7214000017 |              3 | BEARING 11
   7214000018 |              3 | BEARING 12
   7214000019 |              3 | BEARING 13
   7214000020 |              3 | BEARING 14
   7214000021 |              4 | JOINT 1
   7214000022 |              4 | JOINT 2
   7214000023 |              4 | JOINT 3
   7214000024 |              4 | JOINT 4
   7214000025 |              5 | ABUTMENT 1
   7214000026 |              5 | ABUTMENT 2
   7214000027 |              6 | COLUMN 1
   7214000028 |              6 | COLUMN 2
   7214000029 |              6 | COLUMN 3
   7214000030 |              6 | COLUMN 4
   7214000031 |              6 | COLUMN 5
   7214000032 |              6 | COLUMN 6
   7214000033 |              6 | COLUMN 7
   7214000034 |              6 | COLUMN 8
   7214000035 |              7 | GIRDER 1
   7214000036 |              7 | GIRDER 2
   7214000037 |              7 | GIRDER 3
   7214000038 |              7 | GIRDER 4
   7214000039 |              7 | GIRDER 5
   7214000040 |              7 | GIRDER 6
   7214000041 |              7 | GIRDER 7
   7214000042 |              8 | APPROACH 1
   7214000043 |              8 | APPROACH 2
(43 rows)

