 inspection_id |    element_id    | rating |                                                                                                                                                                                                                                                     notes                                                                                                                                                                                                                                                     
---------------+------------------+--------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 1             | 7214000042000063 |      4 | Bit with concrete curb and gutter.Bit shoulders have open transfers,longitudinal and random cracks.Spalls of reference lines,some bit patched.Voids at west end of reference lines and gutter barrier joins.Northwest curb settled 3 inches.
 1             | 7214000042000064 |      4 | Bit with concrete curb and gutter.Bit shoulders have open transfers,longitudinal and random cracks.Spalls of reference lines,some bit patched.Voids at west end of reference lines and gutter barrier joins.Northwest curb settled 3 inches.
 1             | 7214000001000001 |      4 | There are open diagonal cracks at the corners and some wide cracks throughout the surface.Few minor areas of map cracking along the joints.
 1             | 7214000043000065 |      4 | Bit with concrete curb and gutter.Bit shoulders have open transfers,longitudinal and random cracks.Spalls of reference lines,some bit patched.Voids at west end of reference lines and gutter barrier joins.Northwest curb settled 3 inches.
 1             | 7214000043000066 |      4 | Bit with concrete curb and gutter.Bit shoulders have open transfers,longitudinal and random cracks.Spalls of reference lines,some bit patched.Voids at west end of reference lines and gutter barrier joins.Northwest curb settled 3 inches.
 1             | 7214000004000008 |      6 | The concrete bridge railings has several vertical leaching cracks at a spacing of 1-3 feet.Few random and horizontal cracks.Few areas of shallow delamination.
 1             | 7214000004000009 |      6 | The concrete bridge railings has several vertical leaching cracks at a spacing of 1-3 feet.Few random and horizontal cracks.Few areas of shallow delamination.
 1             | 7214000005000010 |      6 | The concrete bridge railings has several vertical leaching cracks at a spacing of 1-3 feet.Few random and horizontal cracks.Few areas of shallow delamination.
 1             | 7214000005000011 |      6 | The concrete bridge railings has several vertical leaching cracks at a spacing of 1-3 feet.Few random and horizontal cracks.Few areas of shallow delamination.
 1             | 7214000006000012 |      6 | The concrete bridge railings has several vertical leaching cracks at a spacing of 1-3 feet.Few random and horizontal cracks.Few areas of shallow delamination.
 1             | 7214000006000013 |      6 | The concrete bridge railings has several vertical leaching cracks at a spacing of 1-3 feet.Few random and horizontal cracks.Few areas of shallow delamination.
 1             | 7214000004000023 |        | There is a downspout in the curb at the northwest approach.
 1             | 7214000005000024 |        | There is a downspout in the curb at the northwest approach.
 1             | 7214000001000014 |      5 | There are curbs at all approach quads.All of the approach curbs are settled approximately 1-3 inches with some vertical cracks.Northwest end of rails/gutter settling outward.
 1             | 7214000001000015 |      5 | There are curbs at all approach quads.All of the approach curbs are settled approximately 1-3 inches with some vertical cracks.Northwest end of rails/gutter settling outward.
 1             | 7214000002000016 |      5 | There are curbs at all approach quads.All of the approach curbs are settled approximately 1-3 inches with some vertical cracks.Northwest end of rails/gutter settling outward.
 1             | 7214000002000017 |      5 | There are curbs at all approach quads.All of the approach curbs are settled approximately 1-3 inches with some vertical cracks.Northwest end of rails/gutter settling outward.
 1             | 7214000003000018 |      5 | There are curbs at all approach quads.All of the approach curbs are settled approximately 1-3 inches with some vertical cracks.Northwest end of rails/gutter settling outward.
 1             | 7214000003000019 |      5 | There are curbs at all approach quads.All of the approach curbs are settled approximately 1-3 inches with some vertical cracks.Northwest end of rails/gutter settling outward.
 1             | 7214000035000026 |      4 | Painted A588 steel stringers with pin and hangers.Some of the cross bracing connection points have pack rust.There is some minor rust starting to form on the beam ends and cross bracing diaphragms at the pin and hangers.There are minor high load hit scraps on the bottom flanges over the right and ramp lanes on beam one.All of the cross bracing diaphragms are bolted except in span 2s bay 2w near pier one south the cross bracing is welded.25 SFT deep STS in west end of north backwell.(2009)
 1             | 7214000036000027 |      4 | Painted A588 steel stringers with pin and hangers.Some of the cross bracing connection points have pack rust.There is some minor rust starting to form on the beam ends and cross bracing diaphragms at the pin and hangers.There are minor high load hit scraps on the bottom flanges over the right and ramp lanes on beam one.All of the cross bracing diaphragms are bolted except in span 2s bay 2w near pier one south the cross bracing is welded.25 SFT deep STS in west end of north backwell.(2009)
 1             | 7214000037000028 |      4 | Painted A588 steel stringers with pin and hangers.Some of the cross bracing connection points have pack rust.There is some minor rust starting to form on the beam ends and cross bracing diaphragms at the pin and hangers.There are minor high load hit scraps on the bottom flanges over the right and ramp lanes on beam one.All of the cross bracing diaphragms are bolted except in span 2s bay 2w near pier one south the cross bracing is welded.25 SFT deep STS in west end of north backwell.(2009)
 1             | 7214000038000067 |      4 | Painted A588 steel stringers with pin and hangers.Some of the cross bracing connection points have pack rust.There is some minor rust starting to form on the beam ends and cross bracing diaphragms at the pin and hangers.There are minor high load hit scraps on the bottom flanges over the right and ramp lanes on beam one.All of the cross bracing diaphragms are bolted except in span 2s bay 2w near pier one south the cross bracing is welded.25 SFT deep STS in west end of north backwell.(2009)
 1             | 7214000039000068 |      4 | Painted A588 steel stringers with pin and hangers.Some of the cross bracing connection points have pack rust.There is some minor rust starting to form on the beam ends and cross bracing diaphragms at the pin and hangers.There are minor high load hit scraps on the bottom flanges over the right and ramp lanes on beam one.All of the cross bracing diaphragms are bolted except in span 2s bay 2w near pier one south the cross bracing is welded.25 SFT deep STS in west end of north backwell.(2009)
 1             | 7214000040000069 |      4 | Painted A588 steel stringers with pin and hangers.Some of the cross bracing connection points have pack rust.There is some minor rust starting to form on the beam ends and cross bracing diaphragms at the pin and hangers.There are minor high load hit scraps on the bottom flanges over the right and ramp lanes on beam one.All of the cross bracing diaphragms are bolted except in span 2s bay 2w near pier one south the cross bracing is welded.25 SFT deep STS in west end of north backwell.(2009)
