    element_id    | element_code |    element_name     
------------------+--------------+---------------------
 7214000042000063 |           16 | APP 1 SHLD 1
 7214000042000064 |           16 | APP 1 SHLD 2
 7214000001000001 |            1 | DECK 1 SURFACE
 7214000043000065 |           16 | APP 2 SHLD 1
 7214000043000066 |           16 | APP 2 SHLD 2
 7214000004000008 |            4 | RAILINGS 1
 7214000004000009 |            4 | RAILINGS 2
 7214000005000010 |            4 | RAILINGS 3
 7214000005000011 |            4 | RAILINGS 4
 7214000006000012 |            4 | RAILINGS 5
 7214000006000013 |            4 | RAILINGS 6
 7214000004000023 |            7 | DRAINAGE 1
 7214000005000024 |            7 | DRAINAGE 2
 7214000001000014 |            5 | SIDEWALK 1
 7214000001000015 |            5 | SIDEWALK 2
 7214000006000025 |            7 | DRAINAGE 3
 7214000035000026 |            8 | STRINGER 1 SIA
 7214000036000027 |            8 | STRINGER 2 SIA
 7214000037000028 |            8 | STRINGER 3 SIA
 7214000001000020 |            6 | DECK 1 SIA
 7214000035000032 |           10 | SECTION LOSS 1
 7214000036000033 |           10 | SECTION LOSS 2
 7214000037000034 |           10 | SECTION LOSS 3
 7214000038000067 |            8 | STRINGER 4 SIA
 7214000039000068 |            8 | STRINGER 5 SIA
 7214000040000069 |            8 | STRINGER 6 SIA
 7214000041000070 |            8 | STRINGER 7 SIA
 7214000038000071 |           10 | SECTION LOSS 4
 7214000039000072 |           10 | SECTION LOSS 5
 7214000040000073 |           10 | SECTION LOSS 6
 7214000041000074 |           10 | SECTION LOSS 7
 7214000023000006 |            3 | OTHER JOINT 3
 7214000002000002 |            1 | DECK 2 SURFACE
 7214000003000003 |            1 | DECK 3 SURFACE
 7214000021000005 |            3 | OTHER JOINT 1
 7214000022000004 |            2 | EXPANSION JOINT 2
 7214000024000007 |            3 | OTHER JOINT 4
 7214000002000016 |            5 | SIDEWALK 3
 7214000002000017 |            5 | SIDEWALK 4
 7214000003000018 |            5 | SIDEWALK 5
 7214000003000019 |            5 | SIDEWALK 6
 7214000002000021 |            6 | DECK 2 SIA
 7214000003000022 |            6 | DECK 3 SIA
 7214000004000029 |            9 | PAINT 1 SIA
 7214000005000030 |            9 | PAINT 2 SIA
 7214000006000031 |            9 | PAINT 3 SIA
 7214000007000035 |           11 | BEARING 1
 7214000008000036 |           11 | BEARING 2
 7214000009000037 |           11 | BEARING 3
 7214000010000038 |           11 | BEARING 4
 7214000011000039 |           11 | BEARING 5
 7214000012000040 |           11 | BEARING 6
 7214000013000041 |           11 | BEARING 7
 7214000014000042 |           11 | BEARING 8
 7214000015000043 |           11 | BEARING 9
 7214000016000044 |           11 | BEARING 10
 7214000017000045 |           11 | BEARING 11
 7214000018000046 |           11 | BEARING 12
 7214000019000047 |           11 | BEARING 13
 7214000020000048 |           11 | BEARING 14
 7214000025000049 |           12 | ABUTMENT 1 SIA
 7214000026000050 |           12 | ABUTMENT 2 SIA
 7214000027000051 |           13 | PIER 1 SIA
 7214000028000052 |           13 | PIER 2 SIA
 7214000029000053 |           13 | PIER 3 SIA
 7214000030000054 |           13 | PIER 4 SIA
 7214000031000055 |           13 | PIER 5 SIA
 7214000032000056 |           13 | PIER 6 SIA
 7214000033000057 |           13 | PIER 7 SIA
 7214000034000058 |           13 | PIER 8 SIA
 7214000025000059 |           14 | SLOPE PROTECTION 1
 7214000026000060 |           14 | SLOPE PROTECTION 2
 7214000042000061 |           15 | APPROACH 1 PAVEMENT
 7214000043000062 |           15 | APPROACH 2 PAVEMENT
(74 rows)

