    element_id    | element_code |    element_name     
------------------+--------------+---------------------
 7214000001000001 |            1 | DECK 1 SURFACE
 7214000001000002 |            1 | DECK 2 SURFACE
 7214000001000003 |            1 | DECK 3 SURFACE
 7214000001000004 |            2 | EXPANSION JOINT 1
 7214000001000005 |            3 | OTHER JOINT 1
 7214000001000006 |            3 | OTHER JOINT 2
 7214000001000007 |            3 | OTHER JOINT 3
 7214000001000008 |            4 | RAILINGS 1
 7214000001000009 |            4 | RAILINGS 2
 7214000001000010 |            4 | RAILINGS 3
 7214000001000011 |            4 | RAILINGS 4
 7214000001000012 |            4 | RAILINGS 5
 7214000001000013 |            4 | RAILINGS 6
 7214000001000014 |            5 | SIDEWALK 1
 7214000001000015 |            5 | SIDEWALK 2
 7214000001000016 |            5 | SIDEWALK 3
 7214000001000017 |            5 | SIDEWALK 4
 7214000001000018 |            5 | SIDEWALK 5
 7214000001000019 |            5 | SIDEWALK 6
 7214000001000020 |            6 | DECK 1 SIA
 7214000001000021 |            6 | DECK 2 SIA
 7214000001000022 |            6 | DECK 3 SIA
 7214000001000023 |            7 | DRAINAGE 1
 7214000001000024 |            7 | DRAINAGE 2
 7214000001000025 |            7 | DRAINAGE 3
 7214000001000026 |            8 | STRINGER 1 SIA
 7214000001000027 |            8 | STRINGER 2 SIA
 7214000001000028 |            8 | STRINGER 3 SIA
 7214000001000029 |            9 | PAINT 1 SIA
 7214000001000030 |            9 | PAINT 2 SIA
 7214000001000031 |            9 | PAINT 3 SIA
 7214000001000032 |           10 | SECTION LOSS 1
 7214000001000033 |           10 | SECTION LOSS 2
 7214000001000034 |           10 | SECTION LOSS 3
 7214000001000035 |           11 | BEARING 1
 7214000001000036 |           11 | BEARING 2
 7214000001000037 |           11 | BEARING 3
 7214000001000038 |           11 | BEARING 4
 7214000001000039 |           11 | BEARING 5
 7214000001000040 |           11 | BEARING 6
 7214000001000041 |           11 | BEARING 7
 7214000001000042 |           11 | BEARING 8
 7214000001000043 |           11 | BEARING 9
 7214000001000044 |           11 | BEARING 10
 7214000001000045 |           11 | BEARING 11
 7214000001000046 |           11 | BEARING 12
 7214000001000047 |           11 | BEARING 13
 7214000001000048 |           11 | BEARING 14
 7214000001000049 |           12 | ABUTMENT 1 SIA
 7214000001000050 |           12 | ABUTMENT 2 SIA
 7214000001000051 |           13 | PIER 1 SIA
 7214000001000052 |           13 | PIER 2 SIA
 7214000001000053 |           13 | PIER 3 SIA
 7214000001000054 |           13 | PIER 4 SIA
 7214000001000055 |           13 | PIER 5 SIA
 7214000001000056 |           13 | PIER 6 SIA
 7214000001000057 |           13 | PIER 7 SIA
 7214000001000058 |           13 | PIER 8 SIA
 7214000001000059 |           14 | SLOPE PROTECTION 1
 7214000001000060 |           14 | SLOPE PROTECTION 2
 7214000001000061 |           15 | APPROACH 1 PAVEMENT
 7214000001000062 |           15 | APPROACH 2 PAVEMENT
 7214000001000063 |           16 | APP 1 SHLD 1
 7214000001000064 |           16 | APP 1 SHLD 2
 7214000001000065 |           16 | APP 2 SHLD 1
 7214000001000066 |           16 | APP 2 SHLD 2
(66 rows)

